conversation_id,scenario,layer,cka,baseline
T0/test/0,T0,0,0.5491173,cka
T0/test/0,T0,1,0.6565307,cka
T0/test/0,T0,2,0.7260043,cka
T0/test/0,T0,3,0.75127697,cka
T0/test/0,T0,4,0.74160737,cka
T0/test/0,T0,5,0.6827468,cka
T0/test/0,T0,6,0.5909538,cka
T0/test/0,T0,7,0.56130695,cka
T0/test/0,T0,8,0.46476594,cka
T0/test/0,T0,9,0.40911558,cka
T0/test/0,T0,10,0.36476943,cka
T0/test/0,T0,11,0.5652828,cka
T0/test/1,T0,0,0.5066409,cka
T0/test/1,T0,1,0.6738809,cka
T0/test/1,T0,2,0.744108,cka
T0/test/1,T0,3,0.76548547,cka
T0/test/1,T0,4,0.7373511,cka
T0/test/1,T0,5,0.6586989,cka
T0/test/1,T0,6,0.5418766,cka
T0/test/1,T0,7,0.49173668,cka
T0/test/1,T0,8,0.38396385,cka
T0/test/1,T0,9,0.2508273,cka
T0/test/1,T0,10,0.21696511,cka
T0/test/1,T0,11,0.2480748,cka
T0/test/2,T0,0,0.5066409,cka
T0/test/2,T0,1,0.6738809,cka
T0/test/2,T0,2,0.744108,cka
T0/test/2,T0,3,0.76548547,cka
T0/test/2,T0,4,0.7373511,cka
T0/test/2,T0,5,0.6586989,cka
T0/test/2,T0,6,0.5418766,cka
T0/test/2,T0,7,0.49173668,cka
T0/test/2,T0,8,0.38396385,cka
T0/test/2,T0,9,0.2508273,cka
T0/test/2,T0,10,0.21696511,cka
T0/test/2,T0,11,0.2480748,cka
T0/test/3,T0,0,0.47231284,cka
T0/test/3,T0,1,0.62991303,cka
T0/test/3,T0,2,0.70555675,cka
T0/test/3,T0,3,0.7513843,cka
T0/test/3,T0,4,0.74763906,cka
T0/test/3,T0,5,0.69522107,cka
T0/test/3,T0,6,0.6279254,cka
T0/test/3,T0,7,0.6238338,cka
T0/test/3,T0,8,0.54944927,cka
T0/test/3,T0,9,0.4928287,cka
T0/test/3,T0,10,0.4827818,cka
T0/test/3,T0,11,0.6860317,cka
T0/test/4,T0,0,0.5106909,cka
T0/test/4,T0,1,0.6294466,cka
T0/test/4,T0,2,0.6712939,cka
T0/test/4,T0,3,0.6980642,cka
T0/test/4,T0,4,0.6532816,cka
T0/test/4,T0,5,0.57363427,cka
T0/test/4,T0,6,0.45370254,cka
T0/test/4,T0,7,0.3788241,cka
T0/test/4,T0,8,0.27576536,cka
T0/test/4,T0,9,0.17315325,cka
T0/test/4,T0,10,0.14853267,cka
T0/test/4,T0,11,0.39616024,cka
T0/test/5,T0,0,0.5491173,cka
T0/test/5,T0,1,0.6565307,cka
T0/test/5,T0,2,0.7260043,cka
T0/test/5,T0,3,0.75127697,cka
T0/test/5,T0,4,0.74160737,cka
T0/test/5,T0,5,0.6827468,cka
T0/test/5,T0,6,0.5909538,cka
T0/test/5,T0,7,0.56130695,cka
T0/test/5,T0,8,0.46476594,cka
T0/test/5,T0,9,0.40911558,cka
T0/test/5,T0,10,0.36476943,cka
T0/test/5,T0,11,0.5652828,cka
T0/test/6,T0,0,0.5491173,cka
T0/test/6,T0,1,0.6565307,cka
T0/test/6,T0,2,0.7260043,cka
T0/test/6,T0,3,0.75127697,cka
T0/test/6,T0,4,0.74160737,cka
T0/test/6,T0,5,0.6827468,cka
T0/test/6,T0,6,0.5909538,cka
T0/test/6,T0,7,0.56130695,cka
T0/test/6,T0,8,0.46476594,cka
T0/test/6,T0,9,0.40911558,cka
T0/test/6,T0,10,0.36476943,cka
T0/test/6,T0,11,0.5652828,cka
T0/test/7,T0,0,0.5066409,cka
T0/test/7,T0,1,0.6738809,cka
T0/test/7,T0,2,0.744108,cka
T0/test/7,T0,3,0.76548547,cka
T0/test/7,T0,4,0.7373511,cka
T0/test/7,T0,5,0.6586989,cka
T0/test/7,T0,6,0.5418766,cka
T0/test/7,T0,7,0.49173668,cka
T0/test/7,T0,8,0.38396385,cka
T0/test/7,T0,9,0.2508273,cka
T0/test/7,T0,10,0.21696511,cka
T0/test/7,T0,11,0.2480748,cka
T0/test/8,T0,0,0.48292482,cka
T0/test/8,T0,1,0.6123697,cka
T0/test/8,T0,2,0.67856115,cka
T0/test/8,T0,3,0.69969916,cka
T0/test/8,T0,4,0.67064756,cka
T0/test/8,T0,5,0.5814238,cka
T0/test/8,T0,6,0.48480615,cka
T0/test/8,T0,7,0.42507163,cka
T0/test/8,T0,8,0.318592,cka
T0/test/8,T0,9,0.20949249,cka
T0/test/8,T0,10,0.15837823,cka
T0/test/8,T0,11,0.22107182,cka
T0/test/9,T0,0,0.4856225,cka
T0/test/9,T0,1,0.62970823,cka
T0/test/9,T0,2,0.69290704,cka
T0/test/9,T0,3,0.7176009,cka
T0/test/9,T0,4,0.68662053,cka
T0/test/9,T0,5,0.6019945,cka
T0/test/9,T0,6,0.5152994,cka
T0/test/9,T0,7,0.4632525,cka
T0/test/9,T0,8,0.3625506,cka
T0/test/9,T0,9,0.22082077,cka
T0/test/9,T0,10,0.18972409,cka
T0/test/9,T0,11,0.49374184,cka
T0/test/10,T0,0,0.5106909,cka
T0/test/10,T0,1,0.6294466,cka
T0/test/10,T0,2,0.6712939,cka
T0/test/10,T0,3,0.6980642,cka
T0/test/10,T0,4,0.6532816,cka
T0/test/10,T0,5,0.57363427,cka
T0/test/10,T0,6,0.45370254,cka
T0/test/10,T0,7,0.3788241,cka
T0/test/10,T0,8,0.27576536,cka
T0/test/10,T0,9,0.17315325,cka
T0/test/10,T0,10,0.14853267,cka
T0/test/10,T0,11,0.39616024,cka
T0/test/11,T0,0,0.4856225,cka
T0/test/11,T0,1,0.62970823,cka
T0/test/11,T0,2,0.69290704,cka
T0/test/11,T0,3,0.7176009,cka
T0/test/11,T0,4,0.68662053,cka
T0/test/11,T0,5,0.6019945,cka
T0/test/11,T0,6,0.5152994,cka
T0/test/11,T0,7,0.4632525,cka
T0/test/11,T0,8,0.3625506,cka
T0/test/11,T0,9,0.22082077,cka
T0/test/11,T0,10,0.18972409,cka
T0/test/11,T0,11,0.49374184,cka
T0/test/12,T0,0,0.5491173,cka
T0/test/12,T0,1,0.6565307,cka
T0/test/12,T0,2,0.7260043,cka
T0/test/12,T0,3,0.75127697,cka
T0/test/12,T0,4,0.74160737,cka
T0/test/12,T0,5,0.6827468,cka
T0/test/12,T0,6,0.5909538,cka
T0/test/12,T0,7,0.56130695,cka
T0/test/12,T0,8,0.46476594,cka
T0/test/12,T0,9,0.40911558,cka
T0/test/12,T0,10,0.36476943,cka
T0/test/12,T0,11,0.5652828,cka
T0/test/13,T0,0,0.48292482,cka
T0/test/13,T0,1,0.6123697,cka
T0/test/13,T0,2,0.67856115,cka
T0/test/13,T0,3,0.69969916,cka
T0/test/13,T0,4,0.67064756,cka
T0/test/13,T0,5,0.5814238,cka
T0/test/13,T0,6,0.48480615,cka
T0/test/13,T0,7,0.42507163,cka
T0/test/13,T0,8,0.318592,cka
T0/test/13,T0,9,0.20949249,cka
T0/test/13,T0,10,0.15837823,cka
T0/test/13,T0,11,0.22107182,cka
T0/test/14,T0,0,0.5491173,cka
T0/test/14,T0,1,0.6565307,cka
T0/test/14,T0,2,0.7260043,cka
T0/test/14,T0,3,0.75127697,cka
T0/test/14,T0,4,0.74160737,cka
T0/test/14,T0,5,0.6827468,cka
T0/test/14,T0,6,0.5909538,cka
T0/test/14,T0,7,0.56130695,cka
T0/test/14,T0,8,0.46476594,cka
T0/test/14,T0,9,0.40911558,cka
T0/test/14,T0,10,0.36476943,cka
T0/test/14,T0,11,0.5652828,cka
T0/test/15,T0,0,0.5491173,cka
T0/test/15,T0,1,0.6565307,cka
T0/test/15,T0,2,0.7260043,cka
T0/test/15,T0,3,0.75127697,cka
T0/test/15,T0,4,0.74160737,cka
T0/test/15,T0,5,0.6827468,cka
T0/test/15,T0,6,0.5909538,cka
T0/test/15,T0,7,0.56130695,cka
T0/test/15,T0,8,0.46476594,cka
T0/test/15,T0,9,0.40911558,cka
T0/test/15,T0,10,0.36476943,cka
T0/test/15,T0,11,0.5652828,cka
T0/test/16,T0,0,0.5106909,cka
T0/test/16,T0,1,0.6294466,cka
T0/test/16,T0,2,0.6712939,cka
T0/test/16,T0,3,0.6980642,cka
T0/test/16,T0,4,0.6532816,cka
T0/test/16,T0,5,0.57363427,cka
T0/test/16,T0,6,0.45370254,cka
T0/test/16,T0,7,0.3788241,cka
T0/test/16,T0,8,0.27576536,cka
T0/test/16,T0,9,0.17315325,cka
T0/test/16,T0,10,0.14853267,cka
T0/test/16,T0,11,0.39616024,cka
T0/test/17,T0,0,0.4856225,cka
T0/test/17,T0,1,0.62970823,cka
T0/test/17,T0,2,0.69290704,cka
T0/test/17,T0,3,0.7176009,cka
T0/test/17,T0,4,0.68662053,cka
T0/test/17,T0,5,0.6019945,cka
T0/test/17,T0,6,0.5152994,cka
T0/test/17,T0,7,0.4632525,cka
T0/test/17,T0,8,0.3625506,cka
T0/test/17,T0,9,0.22082077,cka
T0/test/17,T0,10,0.18972409,cka
T0/test/17,T0,11,0.49374184,cka
T0/test/18,T0,0,0.5066409,cka
T0/test/18,T0,1,0.6738809,cka
T0/test/18,T0,2,0.744108,cka
T0/test/18,T0,3,0.76548547,cka
T0/test/18,T0,4,0.7373511,cka
T0/test/18,T0,5,0.6586989,cka
T0/test/18,T0,6,0.5418766,cka
T0/test/18,T0,7,0.49173668,cka
T0/test/18,T0,8,0.38396385,cka
T0/test/18,T0,9,0.2508273,cka
T0/test/18,T0,10,0.21696511,cka
T0/test/18,T0,11,0.2480748,cka
T0/test/19,T0,0,0.47231284,cka
T0/test/19,T0,1,0.62991303,cka
T0/test/19,T0,2,0.70555675,cka
T0/test/19,T0,3,0.7513843,cka
T0/test/19,T0,4,0.74763906,cka
T0/test/19,T0,5,0.69522107,cka
T0/test/19,T0,6,0.6279254,cka
T0/test/19,T0,7,0.6238338,cka
T0/test/19,T0,8,0.54944927,cka
T0/test/19,T0,9,0.4928287,cka
T0/test/19,T0,10,0.4827818,cka
T0/test/19,T0,11,0.6860317,cka
T0/test/20,T0,0,0.5106909,cka
T0/test/20,T0,1,0.6294466,cka
T0/test/20,T0,2,0.6712939,cka
T0/test/20,T0,3,0.6980642,cka
T0/test/20,T0,4,0.6532816,cka
T0/test/20,T0,5,0.57363427,cka
T0/test/20,T0,6,0.45370254,cka
T0/test/20,T0,7,0.3788241,cka
T0/test/20,T0,8,0.27576536,cka
T0/test/20,T0,9,0.17315325,cka
T0/test/20,T0,10,0.14853267,cka
T0/test/20,T0,11,0.39616024,cka
T0/test/21,T0,0,0.48292482,cka
T0/test/21,T0,1,0.6123697,cka
T0/test/21,T0,2,0.67856115,cka
T0/test/21,T0,3,0.69969916,cka
T0/test/21,T0,4,0.67064756,cka
T0/test/21,T0,5,0.5814238,cka
T0/test/21,T0,6,0.48480615,cka
T0/test/21,T0,7,0.42507163,cka
T0/test/21,T0,8,0.318592,cka
T0/test/21,T0,9,0.20949249,cka
T0/test/21,T0,10,0.15837823,cka
T0/test/21,T0,11,0.22107182,cka
T0/test/22,T0,0,0.4856225,cka
T0/test/22,T0,1,0.62970823,cka
T0/test/22,T0,2,0.69290704,cka
T0/test/22,T0,3,0.7176009,cka
T0/test/22,T0,4,0.68662053,cka
T0/test/22,T0,5,0.6019945,cka
T0/test/22,T0,6,0.5152994,cka
T0/test/22,T0,7,0.4632525,cka
T0/test/22,T0,8,0.3625506,cka
T0/test/22,T0,9,0.22082077,cka
T0/test/22,T0,10,0.18972409,cka
T0/test/22,T0,11,0.49374184,cka
T0/test/23,T0,0,0.5066409,cka
T0/test/23,T0,1,0.6738809,cka
T0/test/23,T0,2,0.744108,cka
T0/test/23,T0,3,0.76548547,cka
T0/test/23,T0,4,0.7373511,cka
T0/test/23,T0,5,0.6586989,cka
T0/test/23,T0,6,0.5418766,cka
T0/test/23,T0,7,0.49173668,cka
T0/test/23,T0,8,0.38396385,cka
T0/test/23,T0,9,0.2508273,cka
T0/test/23,T0,10,0.21696511,cka
T0/test/23,T0,11,0.2480748,cka
T0/test/24,T0,0,0.5066409,cka
T0/test/24,T0,1,0.6738809,cka
T0/test/24,T0,2,0.744108,cka
T0/test/24,T0,3,0.76548547,cka
T0/test/24,T0,4,0.7373511,cka
T0/test/24,T0,5,0.6586989,cka
T0/test/24,T0,6,0.5418766,cka
T0/test/24,T0,7,0.49173668,cka
T0/test/24,T0,8,0.38396385,cka
T0/test/24,T0,9,0.2508273,cka
T0/test/24,T0,10,0.21696511,cka
T0/test/24,T0,11,0.2480748,cka
T0/test/25,T0,0,0.47231284,cka
T0/test/25,T0,1,0.62991303,cka
T0/test/25,T0,2,0.70555675,cka
T0/test/25,T0,3,0.7513843,cka
T0/test/25,T0,4,0.74763906,cka
T0/test/25,T0,5,0.69522107,cka
T0/test/25,T0,6,0.6279254,cka
T0/test/25,T0,7,0.6238338,cka
T0/test/25,T0,8,0.54944927,cka
T0/test/25,T0,9,0.4928287,cka
T0/test/25,T0,10,0.4827818,cka
T0/test/25,T0,11,0.6860317,cka
T0/test/26,T0,0,0.5106909,cka
T0/test/26,T0,1,0.6294466,cka
T0/test/26,T0,2,0.6712939,cka
T0/test/26,T0,3,0.6980642,cka
T0/test/26,T0,4,0.6532816,cka
T0/test/26,T0,5,0.57363427,cka
T0/test/26,T0,6,0.45370254,cka
T0/test/26,T0,7,0.3788241,cka
T0/test/26,T0,8,0.27576536,cka
T0/test/26,T0,9,0.17315325,cka
T0/test/26,T0,10,0.14853267,cka
T0/test/26,T0,11,0.39616024,cka
T0/test/27,T0,0,0.5491173,cka
T0/test/27,T0,1,0.6565307,cka
T0/test/27,T0,2,0.7260043,cka
T0/test/27,T0,3,0.75127697,cka
T0/test/27,T0,4,0.74160737,cka
T0/test/27,T0,5,0.6827468,cka
T0/test/27,T0,6,0.5909538,cka
T0/test/27,T0,7,0.56130695,cka
T0/test/27,T0,8,0.46476594,cka
T0/test/27,T0,9,0.40911558,cka
T0/test/27,T0,10,0.36476943,cka
T0/test/27,T0,11,0.5652828,cka
T0/test/28,T0,0,0.5491173,cka
T0/test/28,T0,1,0.6565307,cka
T0/test/28,T0,2,0.7260043,cka
T0/test/28,T0,3,0.75127697,cka
T0/test/28,T0,4,0.74160737,cka
T0/test/28,T0,5,0.6827468,cka
T0/test/28,T0,6,0.5909538,cka
T0/test/28,T0,7,0.56130695,cka
T0/test/28,T0,8,0.46476594,cka
T0/test/28,T0,9,0.40911558,cka
T0/test/28,T0,10,0.36476943,cka
T0/test/28,T0,11,0.5652828,cka
T0/test/29,T0,0,0.48292482,cka
T0/test/29,T0,1,0.6123697,cka
T0/test/29,T0,2,0.67856115,cka
T0/test/29,T0,3,0.69969916,cka
T0/test/29,T0,4,0.67064756,cka
T0/test/29,T0,5,0.5814238,cka
T0/test/29,T0,6,0.48480615,cka
T0/test/29,T0,7,0.42507163,cka
T0/test/29,T0,8,0.318592,cka
T0/test/29,T0,9,0.20949249,cka
T0/test/29,T0,10,0.15837823,cka
T0/test/29,T0,11,0.22107182,cka
T1/test/0,T1,0,0.82130027,cka
T1/test/0,T1,1,0.8571409,cka
T1/test/0,T1,2,0.856674,cka
T1/test/0,T1,3,0.81607914,cka
T1/test/0,T1,4,0.75803643,cka
T1/test/0,T1,5,0.6467985,cka
T1/test/0,T1,6,0.5413996,cka
T1/test/0,T1,7,0.47335294,cka
T1/test/0,T1,8,0.3375393,cka
T1/test/0,T1,9,0.23353167,cka
T1/test/0,T1,10,0.17528735,cka
T1/test/0,T1,11,0.29710805,cka
T1/test/1,T1,0,0.67847914,cka
T1/test/1,T1,1,0.7662325,cka
T1/test/1,T1,2,0.79674065,cka
T1/test/1,T1,3,0.78586495,cka
T1/test/1,T1,4,0.75247115,cka
T1/test/1,T1,5,0.6313684,cka
T1/test/1,T1,6,0.54721045,cka
T1/test/1,T1,7,0.5091372,cka
T1/test/1,T1,8,0.45372722,cka
T1/test/1,T1,9,0.36167488,cka
T1/test/1,T1,10,0.32098117,cka
T1/test/1,T1,11,0.47943035,cka
T1/test/2,T1,0,0.67847914,cka
T1/test/2,T1,1,0.7662325,cka
T1/test/2,T1,2,0.79674065,cka
T1/test/2,T1,3,0.78586495,cka
T1/test/2,T1,4,0.75247115,cka
T1/test/2,T1,5,0.6313684,cka
T1/test/2,T1,6,0.54721045,cka
T1/test/2,T1,7,0.5091372,cka
T1/test/2,T1,8,0.45372722,cka
T1/test/2,T1,9,0.36167488,cka
T1/test/2,T1,10,0.32098117,cka
T1/test/2,T1,11,0.47943035,cka
T1/test/3,T1,0,0.7076836,cka
T1/test/3,T1,1,0.7772411,cka
T1/test/3,T1,2,0.7958871,cka
T1/test/3,T1,3,0.7708217,cka
T1/test/3,T1,4,0.70327497,cka
T1/test/3,T1,5,0.60624695,cka
T1/test/3,T1,6,0.4396827,cka
T1/test/3,T1,7,0.38701397,cka
T1/test/3,T1,8,0.25124526,cka
T1/test/3,T1,9,0.13449949,cka
T1/test/3,T1,10,0.0792183,cka
T1/test/3,T1,11,0.116165124,cka
T1/test/4,T1,0,0.6628624,cka
T1/test/4,T1,1,0.7342881,cka
T1/test/4,T1,2,0.78558725,cka
T1/test/4,T1,3,0.77147496,cka
T1/test/4,T1,4,0.7381267,cka
T1/test/4,T1,5,0.64570934,cka
T1/test/4,T1,6,0.52719593,cka
T1/test/4,T1,7,0.45219028,cka
T1/test/4,T1,8,0.3305118,cka
T1/test/4,T1,9,0.24335848,cka
T1/test/4,T1,10,0.18525098,cka
T1/test/4,T1,11,0.1980429,cka
T1/test/5,T1,0,0.82130027,cka
T1/test/5,T1,1,0.8571409,cka
T1/test/5,T1,2,0.856674,cka
T1/test/5,T1,3,0.81607914,cka
T1/test/5,T1,4,0.75803643,cka
T1/test/5,T1,5,0.6467985,cka
T1/test/5,T1,6,0.5413996,cka
T1/test/5,T1,7,0.47335294,cka
T1/test/5,T1,8,0.3375393,cka
T1/test/5,T1,9,0.23353167,cka
T1/test/5,T1,10,0.17528735,cka
T1/test/5,T1,11,0.29710805,cka
T1/test/6,T1,0,0.82130027,cka
T1/test/6,T1,1,0.8571409,cka
T1/test/6,T1,2,0.856674,cka
T1/test/6,T1,3,0.81607914,cka
T1/test/6,T1,4,0.75803643,cka
T1/test/6,T1,5,0.6467985,cka
T1/test/6,T1,6,0.5413996,cka
T1/test/6,T1,7,0.47335294,cka
T1/test/6,T1,8,0.3375393,cka
T1/test/6,T1,9,0.23353167,cka
T1/test/6,T1,10,0.17528735,cka
T1/test/6,T1,11,0.29710805,cka
T1/test/7,T1,0,0.67847914,cka
T1/test/7,T1,1,0.7662325,cka
T1/test/7,T1,2,0.79674065,cka
T1/test/7,T1,3,0.78586495,cka
T1/test/7,T1,4,0.75247115,cka
T1/test/7,T1,5,0.6313684,cka
T1/test/7,T1,6,0.54721045,cka
T1/test/7,T1,7,0.5091372,cka
T1/test/7,T1,8,0.45372722,cka
T1/test/7,T1,9,0.36167488,cka
T1/test/7,T1,10,0.32098117,cka
T1/test/7,T1,11,0.47943035,cka
T1/test/8,T1,0,0.7079348,cka
T1/test/8,T1,1,0.7597916,cka
T1/test/8,T1,2,0.789401,cka
T1/test/8,T1,3,0.7674666,cka
T1/test/8,T1,4,0.71393037,cka
T1/test/8,T1,5,0.60967,cka
T1/test/8,T1,6,0.43101138,cka
T1/test/8,T1,7,0.35705832,cka
T1/test/8,T1,8,0.20779978,cka
T1/test/8,T1,9,0.104315296,cka
T1/test/8,T1,10,0.038100734,cka
T1/test/8,T1,11,0.0057692793,cka
T1/test/9,T1,0,0.8390891,cka
T1/test/9,T1,1,0.8808523,cka
T1/test/9,T1,2,0.86913997,cka
T1/test/9,T1,3,0.8389689,cka
T1/test/9,T1,4,0.79245585,cka
T1/test/9,T1,5,0.6778468,cka
T1/test/9,T1,6,0.5844095,cka
T1/test/9,T1,7,0.5288253,cka
T1/test/9,T1,8,0.4543334,cka
T1/test/9,T1,9,0.40446103,cka
T1/test/9,T1,10,0.37702405,cka
T1/test/9,T1,11,0.5773742,cka
T1/test/10,T1,0,0.6628624,cka
T1/test/10,T1,1,0.7342881,cka
T1/test/10,T1,2,0.78558725,cka
T1/test/10,T1,3,0.77147496,cka
T1/test/10,T1,4,0.7381267,cka
T1/test/10,T1,5,0.64570934,cka
T1/test/10,T1,6,0.52719593,cka
T1/test/10,T1,7,0.45219028,cka
T1/test/10,T1,8,0.3305118,cka
T1/test/10,T1,9,0.24335848,cka
T1/test/10,T1,10,0.18525098,cka
T1/test/10,T1,11,0.1980429,cka
T1/test/11,T1,0,0.8390891,cka
T1/test/11,T1,1,0.8808523,cka
T1/test/11,T1,2,0.86913997,cka
T1/test/11,T1,3,0.8389689,cka
T1/test/11,T1,4,0.79245585,cka
T1/test/11,T1,5,0.6778468,cka
T1/test/11,T1,6,0.5844095,cka
T1/test/11,T1,7,0.5288253,cka
T1/test/11,T1,8,0.4543334,cka
T1/test/11,T1,9,0.40446103,cka
T1/test/11,T1,10,0.37702405,cka
T1/test/11,T1,11,0.5773742,cka
T1/test/12,T1,0,0.82130027,cka
T1/test/12,T1,1,0.8571409,cka
T1/test/12,T1,2,0.856674,cka
T1/test/12,T1,3,0.81607914,cka
T1/test/12,T1,4,0.75803643,cka
T1/test/12,T1,5,0.6467985,cka
T1/test/12,T1,6,0.5413996,cka
T1/test/12,T1,7,0.47335294,cka
T1/test/12,T1,8,0.3375393,cka
T1/test/12,T1,9,0.23353167,cka
T1/test/12,T1,10,0.17528735,cka
T1/test/12,T1,11,0.29710805,cka
T1/test/13,T1,0,0.7079348,cka
T1/test/13,T1,1,0.7597916,cka
T1/test/13,T1,2,0.789401,cka
T1/test/13,T1,3,0.7674666,cka
T1/test/13,T1,4,0.71393037,cka
T1/test/13,T1,5,0.60967,cka
T1/test/13,T1,6,0.43101138,cka
T1/test/13,T1,7,0.35705832,cka
T1/test/13,T1,8,0.20779978,cka
T1/test/13,T1,9,0.104315296,cka
T1/test/13,T1,10,0.038100734,cka
