conversation_id,scenario,layer,entropy_mean,entropy_std,baseline
T0/test/0,T0,0,0.3482629,0.0,attention_entropy
T0/test/0,T0,1,0.5002773,0.0,attention_entropy
T0/test/0,T0,2,0.53094673,0.0,attention_entropy
T0/test/0,T0,3,0.86316115,0.0,attention_entropy
T0/test/0,T0,4,0.974017,0.0,attention_entropy
T0/test/0,T0,5,1.3901007,0.0,attention_entropy
T0/test/0,T0,6,1.2948256,0.0,attention_entropy
T0/test/0,T0,7,1.5665514,0.0,attention_entropy
T0/test/0,T0,8,1.4348977,0.0,attention_entropy
T0/test/0,T0,9,1.5017755,0.0,attention_entropy
T0/test/0,T0,10,1.4494593,0.0,attention_entropy
T0/test/0,T0,11,1.241244,0.0,attention_entropy
T0/test/1,T0,0,0.41878372,0.0,attention_entropy
T0/test/1,T0,1,0.6062434,0.0,attention_entropy
T0/test/1,T0,2,0.6896606,0.0,attention_entropy
T0/test/1,T0,3,1.1346836,0.0,attention_entropy
T0/test/1,T0,4,1.3108906,0.0,attention_entropy
T0/test/1,T0,5,1.7175553,0.0,attention_entropy
T0/test/1,T0,6,1.6446413,0.0,attention_entropy
T0/test/1,T0,7,1.9203279,0.0,attention_entropy
T0/test/1,T0,8,1.7432029,0.0,attention_entropy
T0/test/1,T0,9,1.8037726,0.0,attention_entropy
T0/test/1,T0,10,1.7703583,0.0,attention_entropy
T0/test/1,T0,11,1.4980208,0.0,attention_entropy
T0/test/2,T0,0,0.41878372,0.0,attention_entropy
T0/test/2,T0,1,0.6062434,0.0,attention_entropy
T0/test/2,T0,2,0.6896606,0.0,attention_entropy
T0/test/2,T0,3,1.1346836,0.0,attention_entropy
T0/test/2,T0,4,1.3108906,0.0,attention_entropy
T0/test/2,T0,5,1.7175553,0.0,attention_entropy
T0/test/2,T0,6,1.6446413,0.0,attention_entropy
T0/test/2,T0,7,1.9203279,0.0,attention_entropy
T0/test/2,T0,8,1.7432029,0.0,attention_entropy
T0/test/2,T0,9,1.8037726,0.0,attention_entropy
T0/test/2,T0,10,1.7703583,0.0,attention_entropy
T0/test/2,T0,11,1.4980208,0.0,attention_entropy
T0/test/3,T0,0,0.38726747,0.0,attention_entropy
T0/test/3,T0,1,0.563711,0.0,attention_entropy
T0/test/3,T0,2,0.6864722,0.0,attention_entropy
T0/test/3,T0,3,1.0647031,0.0,attention_entropy
T0/test/3,T0,4,1.2519591,0.0,attention_entropy
T0/test/3,T0,5,1.7318974,0.0,attention_entropy
T0/test/3,T0,6,1.6532745,0.0,attention_entropy
T0/test/3,T0,7,1.9041969,0.0,attention_entropy
T0/test/3,T0,8,1.7635493,0.0,attention_entropy
T0/test/3,T0,9,1.9102277,0.0,attention_entropy
T0/test/3,T0,10,1.7856176,0.0,attention_entropy
T0/test/3,T0,11,1.5795829,0.0,attention_entropy
T0/test/4,T0,0,0.41177663,0.0,attention_entropy
T0/test/4,T0,1,0.55054563,0.0,attention_entropy
T0/test/4,T0,2,0.58928835,0.0,attention_entropy
T0/test/4,T0,3,0.9404641,0.0,attention_entropy
T0/test/4,T0,4,1.1136118,0.0,attention_entropy
T0/test/4,T0,5,1.5634215,0.0,attention_entropy
T0/test/4,T0,6,1.4572119,0.0,attention_entropy
T0/test/4,T0,7,1.754425,0.0,attention_entropy
T0/test/4,T0,8,1.6081473,0.0,attention_entropy
T0/test/4,T0,9,1.6759202,0.0,attention_entropy
T0/test/4,T0,10,1.5607076,0.0,attention_entropy
T0/test/4,T0,11,1.4387476,0.0,attention_entropy
T0/test/5,T0,0,0.3482629,0.0,attention_entropy
T0/test/5,T0,1,0.5002773,0.0,attention_entropy
T0/test/5,T0,2,0.53094673,0.0,attention_entropy
T0/test/5,T0,3,0.86316115,0.0,attention_entropy
T0/test/5,T0,4,0.974017,0.0,attention_entropy
T0/test/5,T0,5,1.3901007,0.0,attention_entropy
T0/test/5,T0,6,1.2948256,0.0,attention_entropy
T0/test/5,T0,7,1.5665514,0.0,attention_entropy
T0/test/5,T0,8,1.4348977,0.0,attention_entropy
T0/test/5,T0,9,1.5017755,0.0,attention_entropy
T0/test/5,T0,10,1.4494593,0.0,attention_entropy
T0/test/5,T0,11,1.241244,0.0,attention_entropy
T0/test/6,T0,0,0.3482629,0.0,attention_entropy
T0/test/6,T0,1,0.5002773,0.0,attention_entropy
T0/test/6,T0,2,0.53094673,0.0,attention_entropy
T0/test/6,T0,3,0.86316115,0.0,attention_entropy
T0/test/6,T0,4,0.974017,0.0,attention_entropy
T0/test/6,T0,5,1.3901007,0.0,attention_entropy
T0/test/6,T0,6,1.2948256,0.0,attention_entropy
T0/test/6,T0,7,1.5665514,0.0,attention_entropy
T0/test/6,T0,8,1.4348977,0.0,attention_entropy
T0/test/6,T0,9,1.5017755,0.0,attention_entropy
T0/test/6,T0,10,1.4494593,0.0,attention_entropy
T0/test/6,T0,11,1.241244,0.0,attention_entropy
T0/test/7,T0,0,0.41878372,0.0,attention_entropy
T0/test/7,T0,1,0.6062434,0.0,attention_entropy
T0/test/7,T0,2,0.6896606,0.0,attention_entropy
T0/test/7,T0,3,1.1346836,0.0,attention_entropy
T0/test/7,T0,4,1.3108906,0.0,attention_entropy
T0/test/7,T0,5,1.7175553,0.0,attention_entropy
T0/test/7,T0,6,1.6446413,0.0,attention_entropy
T0/test/7,T0,7,1.9203279,0.0,attention_entropy
T0/test/7,T0,8,1.7432029,0.0,attention_entropy
T0/test/7,T0,9,1.8037726,0.0,attention_entropy
T0/test/7,T0,10,1.7703583,0.0,attention_entropy
T0/test/7,T0,11,1.4980208,0.0,attention_entropy
T0/test/8,T0,0,0.3725335,0.0,attention_entropy
T0/test/8,T0,1,0.5536533,0.0,attention_entropy
T0/test/8,T0,2,0.64099735,0.0,attention_entropy
T0/test/8,T0,3,1.0778967,0.0,attention_entropy
T0/test/8,T0,4,1.1591114,0.0,attention_entropy
T0/test/8,T0,5,1.6531028,0.0,attention_entropy
T0/test/8,T0,6,1.4992602,0.0,attention_entropy
T0/test/8,T0,7,1.8137468,0.0,attention_entropy
T0/test/8,T0,8,1.6494738,0.0,attention_entropy
T0/test/8,T0,9,1.7228218,0.0,attention_entropy
T0/test/8,T0,10,1.646647,0.0,attention_entropy
T0/test/8,T0,11,1.3714211,0.0,attention_entropy
T0/test/9,T0,0,0.41136128,0.0,attention_entropy
T0/test/9,T0,1,0.5634963,0.0,attention_entropy
T0/test/9,T0,2,0.624534,0.0,attention_entropy
T0/test/9,T0,3,1.0338923,0.0,attention_entropy
T0/test/9,T0,4,1.1199931,0.0,attention_entropy
T0/test/9,T0,5,1.5492485,0.0,attention_entropy
T0/test/9,T0,6,1.4715039,0.0,attention_entropy
T0/test/9,T0,7,1.6989956,0.0,attention_entropy
T0/test/9,T0,8,1.5406371,0.0,attention_entropy
T0/test/9,T0,9,1.6071792,0.0,attention_entropy
T0/test/9,T0,10,1.543855,0.0,attention_entropy
T0/test/9,T0,11,1.3410977,0.0,attention_entropy
T0/test/10,T0,0,0.41177663,0.0,attention_entropy
T0/test/10,T0,1,0.55054563,0.0,attention_entropy
T0/test/10,T0,2,0.58928835,0.0,attention_entropy
T0/test/10,T0,3,0.9404641,0.0,attention_entropy
T0/test/10,T0,4,1.1136118,0.0,attention_entropy
T0/test/10,T0,5,1.5634215,0.0,attention_entropy
T0/test/10,T0,6,1.4572119,0.0,attention_entropy
T0/test/10,T0,7,1.754425,0.0,attention_entropy
T0/test/10,T0,8,1.6081473,0.0,attention_entropy
T0/test/10,T0,9,1.6759202,0.0,attention_entropy
T0/test/10,T0,10,1.5607076,0.0,attention_entropy
T0/test/10,T0,11,1.4387476,0.0,attention_entropy
T0/test/11,T0,0,0.41136128,0.0,attention_entropy
T0/test/11,T0,1,0.5634963,0.0,attention_entropy
T0/test/11,T0,2,0.624534,0.0,attention_entropy
T0/test/11,T0,3,1.0338923,0.0,attention_entropy
T0/test/11,T0,4,1.1199931,0.0,attention_entropy
T0/test/11,T0,5,1.5492485,0.0,attention_entropy
T0/test/11,T0,6,1.4715039,0.0,attention_entropy
T0/test/11,T0,7,1.6989956,0.0,attention_entropy
T0/test/11,T0,8,1.5406371,0.0,attention_entropy
T0/test/11,T0,9,1.6071792,0.0,attention_entropy
T0/test/11,T0,10,1.543855,0.0,attention_entropy
T0/test/11,T0,11,1.3410977,0.0,attention_entropy
T0/test/12,T0,0,0.3482629,0.0,attention_entropy
T0/test/12,T0,1,0.5002773,0.0,attention_entropy
T0/test/12,T0,2,0.53094673,0.0,attention_entropy
T0/test/12,T0,3,0.86316115,0.0,attention_entropy
T0/test/12,T0,4,0.974017,0.0,attention_entropy
T0/test/12,T0,5,1.3901007,0.0,attention_entropy
T0/test/12,T0,6,1.2948256,0.0,attention_entropy
T0/test/12,T0,7,1.5665514,0.0,attention_entropy
T0/test/12,T0,8,1.4348977,0.0,attention_entropy
T0/test/12,T0,9,1.5017755,0.0,attention_entropy
T0/test/12,T0,10,1.4494593,0.0,attention_entropy
T0/test/12,T0,11,1.241244,0.0,attention_entropy
T0/test/13,T0,0,0.3725335,0.0,attention_entropy
T0/test/13,T0,1,0.5536533,0.0,attention_entropy
T0/test/13,T0,2,0.64099735,0.0,attention_entropy
T0/test/13,T0,3,1.0778967,0.0,attention_entropy
T0/test/13,T0,4,1.1591114,0.0,attention_entropy
T0/test/13,T0,5,1.6531028,0.0,attention_entropy
T0/test/13,T0,6,1.4992602,0.0,attention_entropy
T0/test/13,T0,7,1.8137468,0.0,attention_entropy
T0/test/13,T0,8,1.6494738,0.0,attention_entropy
T0/test/13,T0,9,1.7228218,0.0,attention_entropy
T0/test/13,T0,10,1.646647,0.0,attention_entropy
T0/test/13,T0,11,1.3714211,0.0,attention_entropy
T0/test/14,T0,0,0.3482629,0.0,attention_entropy
T0/test/14,T0,1,0.5002773,0.0,attention_entropy
T0/test/14,T0,2,0.53094673,0.0,attention_entropy
T0/test/14,T0,3,0.86316115,0.0,attention_entropy
T0/test/14,T0,4,0.974017,0.0,attention_entropy
T0/test/14,T0,5,1.3901007,0.0,attention_entropy
T0/test/14,T0,6,1.2948256,0.0,attention_entropy
T0/test/14,T0,7,1.5665514,0.0,attention_entropy
T0/test/14,T0,8,1.4348977,0.0,attention_entropy
T0/test/14,T0,9,1.5017755,0.0,attention_entropy
T0/test/14,T0,10,1.4494593,0.0,attention_entropy
T0/test/14,T0,11,1.241244,0.0,attention_entropy
T0/test/15,T0,0,0.3482629,0.0,attention_entropy
T0/test/15,T0,1,0.5002773,0.0,attention_entropy
T0/test/15,T0,2,0.53094673,0.0,attention_entropy
T0/test/15,T0,3,0.86316115,0.0,attention_entropy
T0/test/15,T0,4,0.974017,0.0,attention_entropy
T0/test/15,T0,5,1.3901007,0.0,attention_entropy
T0/test/15,T0,6,1.2948256,0.0,attention_entropy
T0/test/15,T0,7,1.5665514,0.0,attention_entropy
T0/test/15,T0,8,1.4348977,0.0,attention_entropy
T0/test/15,T0,9,1.5017755,0.0,attention_entropy
T0/test/15,T0,10,1.4494593,0.0,attention_entropy
T0/test/15,T0,11,1.241244,0.0,attention_entropy
T0/test/16,T0,0,0.41177663,0.0,attention_entropy
T0/test/16,T0,1,0.55054563,0.0,attention_entropy
T0/test/16,T0,2,0.58928835,0.0,attention_entropy
T0/test/16,T0,3,0.9404641,0.0,attention_entropy
T0/test/16,T0,4,1.1136118,0.0,attention_entropy
T0/test/16,T0,5,1.5634215,0.0,attention_entropy
T0/test/16,T0,6,1.4572119,0.0,attention_entropy
T0/test/16,T0,7,1.754425,0.0,attention_entropy
T0/test/16,T0,8,1.6081473,0.0,attention_entropy
T0/test/16,T0,9,1.6759202,0.0,attention_entropy
T0/test/16,T0,10,1.5607076,0.0,attention_entropy
T0/test/16,T0,11,1.4387476,0.0,attention_entropy
T0/test/17,T0,0,0.41136128,0.0,attention_entropy
T0/test/17,T0,1,0.5634963,0.0,attention_entropy
T0/test/17,T0,2,0.624534,0.0,attention_entropy
T0/test/17,T0,3,1.0338923,0.0,attention_entropy
T0/test/17,T0,4,1.1199931,0.0,attention_entropy
T0/test/17,T0,5,1.5492485,0.0,attention_entropy
T0/test/17,T0,6,1.4715039,0.0,attention_entropy
T0/test/17,T0,7,1.6989956,0.0,attention_entropy
T0/test/17,T0,8,1.5406371,0.0,attention_entropy
T0/test/17,T0,9,1.6071792,0.0,attention_entropy
T0/test/17,T0,10,1.543855,0.0,attention_entropy
T0/test/17,T0,11,1.3410977,0.0,attention_entropy
T0/test/18,T0,0,0.41878372,0.0,attention_entropy
T0/test/18,T0,1,0.6062434,0.0,attention_entropy
T0/test/18,T0,2,0.6896606,0.0,attention_entropy
T0/test/18,T0,3,1.1346836,0.0,attention_entropy
T0/test/18,T0,4,1.3108906,0.0,attention_entropy
T0/test/18,T0,5,1.7175553,0.0,attention_entropy
T0/test/18,T0,6,1.6446413,0.0,attention_entropy
T0/test/18,T0,7,1.9203279,0.0,attention_entropy
T0/test/18,T0,8,1.7432029,0.0,attention_entropy
T0/test/18,T0,9,1.8037726,0.0,attention_entropy
T0/test/18,T0,10,1.7703583,0.0,attention_entropy
T0/test/18,T0,11,1.4980208,0.0,attention_entropy
T0/test/19,T0,0,0.38726747,0.0,attention_entropy
T0/test/19,T0,1,0.563711,0.0,attention_entropy
T0/test/19,T0,2,0.6864722,0.0,attention_entropy
T0/test/19,T0,3,1.0647031,0.0,attention_entropy
T0/test/19,T0,4,1.2519591,0.0,attention_entropy
T0/test/19,T0,5,1.7318974,0.0,attention_entropy
T0/test/19,T0,6,1.6532745,0.0,attention_entropy
T0/test/19,T0,7,1.9041969,0.0,attention_entropy
T0/test/19,T0,8,1.7635493,0.0,attention_entropy
T0/test/19,T0,9,1.9102277,0.0,attention_entropy
T0/test/19,T0,10,1.7856176,0.0,attention_entropy
T0/test/19,T0,11,1.5795829,0.0,attention_entropy
T0/test/20,T0,0,0.41177663,0.0,attention_entropy
T0/test/20,T0,1,0.55054563,0.0,attention_entropy
T0/test/20,T0,2,0.58928835,0.0,attention_entropy
T0/test/20,T0,3,0.9404641,0.0,attention_entropy
T0/test/20,T0,4,1.1136118,0.0,attention_entropy
T0/test/20,T0,5,1.5634215,0.0,attention_entropy
T0/test/20,T0,6,1.4572119,0.0,attention_entropy
T0/test/20,T0,7,1.754425,0.0,attention_entropy
T0/test/20,T0,8,1.6081473,0.0,attention_entropy
T0/test/20,T0,9,1.6759202,0.0,attention_entropy
T0/test/20,T0,10,1.5607076,0.0,attention_entropy
T0/test/20,T0,11,1.4387476,0.0,attention_entropy
T0/test/21,T0,0,0.3725335,0.0,attention_entropy
T0/test/21,T0,1,0.5536533,0.0,attention_entropy
T0/test/21,T0,2,0.64099735,0.0,attention_entropy
T0/test/21,T0,3,1.0778967,0.0,attention_entropy
T0/test/21,T0,4,1.1591114,0.0,attention_entropy
T0/test/21,T0,5,1.6531028,0.0,attention_entropy
T0/test/21,T0,6,1.4992602,0.0,attention_entropy
T0/test/21,T0,7,1.8137468,0.0,attention_entropy
T0/test/21,T0,8,1.6494738,0.0,attention_entropy
T0/test/21,T0,9,1.7228218,0.0,attention_entropy
T0/test/21,T0,10,1.646647,0.0,attention_entropy
T0/test/21,T0,11,1.3714211,0.0,attention_entropy
T0/test/22,T0,0,0.41136128,0.0,attention_entropy
T0/test/22,T0,1,0.5634963,0.0,attention_entropy
T0/test/22,T0,2,0.624534,0.0,attention_entropy
T0/test/22,T0,3,1.0338923,0.0,attention_entropy
T0/test/22,T0,4,1.1199931,0.0,attention_entropy
T0/test/22,T0,5,1.5492485,0.0,attention_entropy
T0/test/22,T0,6,1.4715039,0.0,attention_entropy
T0/test/22,T0,7,1.6989956,0.0,attention_entropy
T0/test/22,T0,8,1.5406371,0.0,attention_entropy
T0/test/22,T0,9,1.6071792,0.0,attention_entropy
T0/test/22,T0,10,1.543855,0.0,attention_entropy
T0/test/22,T0,11,1.3410977,0.0,attention_entropy
T0/test/23,T0,0,0.41878372,0.0,attention_entropy
T0/test/23,T0,1,0.6062434,0.0,attention_entropy
T0/test/23,T0,2,0.6896606,0.0,attention_entropy
T0/test/23,T0,3,1.1346836,0.0,attention_entropy
T0/test/23,T0,4,1.3108906,0.0,attention_entropy
T0/test/23,T0,5,1.7175553,0.0,attention_entropy
T0/test/23,T0,6,1.6446413,0.0,attention_entropy
T0/test/23,T0,7,1.9203279,0.0,attention_entropy
T0/test/23,T0,8,1.7432029,0.0,attention_entropy
T0/test/23,T0,9,1.8037726,0.0,attention_entropy
T0/test/23,T0,10,1.7703583,0.0,attention_entropy
T0/test/23,T0,11,1.4980208,0.0,attention_entropy
T0/test/24,T0,0,0.41878372,0.0,attention_entropy
T0/test/24,T0,1,0.6062434,0.0,attention_entropy
T0/test/24,T0,2,0.6896606,0.0,attention_entropy
T0/test/24,T0,3,1.1346836,0.0,attention_entropy
T0/test/24,T0,4,1.3108906,0.0,attention_entropy
T0/test/24,T0,5,1.7175553,0.0,attention_entropy
T0/test/24,T0,6,1.6446413,0.0,attention_entropy
T0/test/24,T0,7,1.9203279,0.0,attention_entropy
T0/test/24,T0,8,1.7432029,0.0,attention_entropy
T0/test/24,T0,9,1.8037726,0.0,attention_entropy
T0/test/24,T0,10,1.7703583,0.0,attention_entropy
T0/test/24,T0,11,1.4980208,0.0,attention_entropy
T0/test/25,T0,0,0.38726747,0.0,attention_entropy
T0/test/25,T0,1,0.563711,0.0,attention_entropy
T0/test/25,T0,2,0.6864722,0.0,attention_entropy
T0/test/25,T0,3,1.0647031,0.0,attention_entropy
T0/test/25,T0,4,1.2519591,0.0,attention_entropy
T0/test/25,T0,5,1.7318974,0.0,attention_entropy
T0/test/25,T0,6,1.6532745,0.0,attention_entropy
T0/test/25,T0,7,1.9041969,0.0,attention_entropy
T0/test/25,T0,8,1.7635493,0.0,attention_entropy
T0/test/25,T0,9,1.9102277,0.0,attention_entropy
T0/test/25,T0,10,1.7856176,0.0,attention_entropy
T0/test/25,T0,11,1.5795829,0.0,attention_entropy
T0/test/26,T0,0,0.41177663,0.0,attention_entropy
T0/test/26,T0,1,0.55054563,0.0,attention_entropy
T0/test/26,T0,2,0.58928835,0.0,attention_entropy
T0/test/26,T0,3,0.9404641,0.0,attention_entropy
T0/test/26,T0,4,1.1136118,0.0,attention_entropy
T0/test/26,T0,5,1.5634215,0.0,attention_entropy
T0/test/26,T0,6,1.4572119,0.0,attention_entropy
T0/test/26,T0,7,1.754425,0.0,attention_entropy
T0/test/26,T0,8,1.6081473,0.0,attention_entropy
T0/test/26,T0,9,1.6759202,0.0,attention_entropy
T0/test/26,T0,10,1.5607076,0.0,attention_entropy
T0/test/26,T0,11,1.4387476,0.0,attention_entropy
T0/test/27,T0,0,0.3482629,0.0,attention_entropy
T0/test/27,T0,1,0.5002773,0.0,attention_entropy
T0/test/27,T0,2,0.53094673,0.0,attention_entropy
T0/test/27,T0,3,0.86316115,0.0,attention_entropy
T0/test/27,T0,4,0.974017,0.0,attention_entropy
T0/test/27,T0,5,1.3901007,0.0,attention_entropy
T0/test/27,T0,6,1.2948256,0.0,attention_entropy
T0/test/27,T0,7,1.5665514,0.0,attention_entropy
T0/test/27,T0,8,1.4348977,0.0,attention_entropy
T0/test/27,T0,9,1.5017755,0.0,attention_entropy
T0/test/27,T0,10,1.4494593,0.0,attention_entropy
T0/test/27,T0,11,1.241244,0.0,attention_entropy
T0/test/28,T0,0,0.3482629,0.0,attention_entropy
T0/test/28,T0,1,0.5002773,0.0,attention_entropy
T0/test/28,T0,2,0.53094673,0.0,attention_entropy
T0/test/28,T0,3,0.86316115,0.0,attention_entropy
T0/test/28,T0,4,0.974017,0.0,attention_entropy
T0/test/28,T0,5,1.3901007,0.0,attention_entropy
T0/test/28,T0,6,1.2948256,0.0,attention_entropy
T0/test/28,T0,7,1.5665514,0.0,attention_entropy
T0/test/28,T0,8,1.4348977,0.0,attention_entropy
T0/test/28,T0,9,1.5017755,0.0,attention_entropy
