model,layer,probe_type,f1_mean,f1_std,baseline
gpt2,0,binary,1.0,0.0,linear_probing
gpt2,0,multiclass,1.0,0.0,linear_probing
gpt2,0,multiclass_pca10,1.0,0.0,linear_probing
gpt2,1,binary,1.0,0.0,linear_probing
gpt2,1,multiclass,1.0,0.0,linear_probing
gpt2,1,multiclass_pca10,1.0,0.0,linear_probing
gpt2,2,binary,1.0,0.0,linear_probing
gpt2,2,multiclass,1.0,0.0,linear_probing
gpt2,2,multiclass_pca10,1.0,0.0,linear_probing
gpt2,3,binary,1.0,0.0,linear_probing
gpt2,3,multiclass,1.0,0.0,linear_probing
gpt2,3,multiclass_pca10,1.0,0.0,linear_probing
gpt2,4,binary,1.0,0.0,linear_probing
gpt2,4,multiclass,1.0,0.0,linear_probing
gpt2,4,multiclass_pca10,1.0,0.0,linear_probing
gpt2,5,binary,1.0,0.0,linear_probing
gpt2,5,multiclass,1.0,0.0,linear_probing
gpt2,5,multiclass_pca10,1.0,0.0,linear_probing
gpt2,6,binary,1.0,0.0,linear_probing
gpt2,6,multiclass,1.0,0.0,linear_probing
gpt2,6,multiclass_pca10,1.0,0.0,linear_probing
gpt2,7,binary,1.0,0.0,linear_probing
gpt2,7,multiclass,1.0,0.0,linear_probing
gpt2,7,multiclass_pca10,1.0,0.0,linear_probing
gpt2,8,binary,1.0,0.0,linear_probing
gpt2,8,multiclass,1.0,0.0,linear_probing
gpt2,8,multiclass_pca10,1.0,0.0,linear_probing
gpt2,9,binary,1.0,0.0,linear_probing
gpt2,9,multiclass,1.0,0.0,linear_probing
gpt2,9,multiclass_pca10,1.0,0.0,linear_probing
gpt2,10,binary,1.0,0.0,linear_probing
gpt2,10,multiclass,1.0,0.0,linear_probing
gpt2,10,multiclass_pca10,1.0,0.0,linear_probing
gpt2,11,binary,1.0,0.0,linear_probing
gpt2,11,multiclass,1.0,0.0,linear_probing
gpt2,11,multiclass_pca10,1.0,0.0,linear_probing
