conversation_id,scenario,layer,curvature_min,curvature_nar,curvature_soc,curvature_mor,curvature_pos,curvature_total,model,ablation_type,param_value
T0/test/0,T0,0,21.409772872924805,14.65537166595459,21.337589263916016,22.434953689575195,21.392902374267578,45.710331740006026,llama-7b,layer_count,3
T0/test/1,T0,0,20.46919822692871,13.575677871704102,20.401765823364258,21.514795303344727,20.46634292602539,43.603632465099345,llama-7b,layer_count,3
T0/test/10,T0,0,20.46809196472168,13.567893981933594,20.408390045166016,21.51013946533203,20.462913513183594,43.59988359253946,llama-7b,layer_count,3
T0/test/11,T0,0,20.31776237487793,13.411696434020996,20.25235939025879,21.352882385253906,20.306156158447266,43.256545101548184,llama-7b,layer_count,3
T0/test/12,T0,0,21.409772872924805,14.65537166595459,21.337589263916016,22.434953689575195,21.392902374267578,45.710331740006026,llama-7b,layer_count,3
T0/test/13,T0,0,20.839025497436523,13.987271308898926,20.762989044189453,21.868131637573242,20.824979782104492,44.417399976180285,llama-7b,layer_count,3
T0/test/14,T0,0,21.409772872924805,14.65537166595459,21.337589263916016,22.434953689575195,21.392902374267578,45.710331740006026,llama-7b,layer_count,3
T0/test/15,T0,0,21.409772872924805,14.65537166595459,21.337589263916016,22.434951782226562,21.392902374267578,45.71033080386588,llama-7b,layer_count,3
T0/test/16,T0,0,20.46809196472168,13.567893981933594,20.408390045166016,21.51013946533203,20.462913513183594,43.59988359253946,llama-7b,layer_count,3
T0/test/17,T0,0,20.31776237487793,13.411696434020996,20.25235939025879,21.352882385253906,20.306156158447266,43.256545101548184,llama-7b,layer_count,3
T0/test/18,T0,0,20.46919822692871,13.575677871704102,20.401765823364258,21.514795303344727,20.46634292602539,43.603632465099345,llama-7b,layer_count,3
T0/test/19,T0,0,20.343761444091797,13.446764945983887,20.293136596679688,21.39252281188965,20.348285675048828,43.33806954986313,llama-7b,layer_count,3
T0/test/2,T0,0,20.46919822692871,13.575677871704102,20.401765823364258,21.514795303344727,20.46634292602539,43.603632465099345,llama-7b,layer_count,3
T0/test/20,T0,0,20.46809196472168,13.567893981933594,20.408388137817383,21.51013946533203,20.462913513183594,43.599882699740895,llama-7b,layer_count,3
T0/test/21,T0,0,20.839025497436523,13.987271308898926,20.762989044189453,21.868131637573242,20.824979782104492,44.417399976180285,llama-7b,layer_count,3
T0/test/22,T0,0,20.31776237487793,13.411696434020996,20.25235939025879,21.352882385253906,20.306156158447266,43.256545101548184,llama-7b,layer_count,3
T0/test/23,T0,0,20.46919822692871,13.575677871704102,20.401765823364258,21.514795303344727,20.46634292602539,43.603632465099345,llama-7b,layer_count,3
T0/test/24,T0,0,20.46919822692871,13.575677871704102,20.401765823364258,21.514795303344727,20.46634292602539,43.603632465099345,llama-7b,layer_count,3
T0/test/25,T0,0,20.343761444091797,13.446764945983887,20.293136596679688,21.39252281188965,20.348285675048828,43.33806954986313,llama-7b,layer_count,3
T0/test/26,T0,0,20.46809196472168,13.567893981933594,20.408388137817383,21.51013946533203,20.462913513183594,43.599882699740895,llama-7b,layer_count,3
T0/test/27,T0,0,21.409772872924805,14.65537166595459,21.337589263916016,22.434953689575195,21.392902374267578,45.710331740006026,llama-7b,layer_count,3
T0/test/28,T0,0,21.409772872924805,14.65537166595459,21.337589263916016,22.434951782226562,21.392902374267578,45.71033080386588,llama-7b,layer_count,3
T0/test/29,T0,0,20.839025497436523,13.987271308898926,20.762989044189453,21.868131637573242,20.824979782104492,44.417399976180285,llama-7b,layer_count,3
