conversation,group,group_idx,n_heads,orig_total,patched_total,delta,relative_shift
T2/test/0,min,0,7,39.900565483343506,39.899962154762214,-0.0006033285812918621,-1.5120802775181761e-05
T2/test/0,nar,1,3,39.900565483343506,39.91098373027666,0.010418246933156183,0.0002611052451751663
T2/test/0,soc,2,7,39.900565483343506,39.90390416377067,0.003338680427162899,8.36750152966286e-05
T2/test/0,mor,3,8,39.900565483343506,40.002038082388616,0.10147259904510975,0.002543136865753682
T2/test/0,pos,4,7,39.900565483343506,39.85373971571698,-0.04682576762652246,-0.0011735615036852017
T2/test/1,min,0,7,44.18258491488469,43.52061830837901,-0.6619666065056862,-0.014982523267502983
T2/test/1,nar,1,3,44.18258491488469,43.51514307418361,-0.6674418407010805,-0.015106446170745108
T2/test/1,soc,2,7,44.18258491488469,43.528022855713935,-0.6545620591707575,-0.014814933540709199
T2/test/1,mor,3,8,44.18258491488469,43.56346949447422,-0.6191154204104734,-0.014012657285741996
T2/test/1,pos,4,7,44.18258491488469,43.538362499388626,-0.644222415496067,-0.014580912745081028
T2/test/10,min,0,7,41.46956925625731,42.11072562723483,0.6411563709775194,0.015460888127763127
T2/test/10,nar,1,3,41.46956925625731,42.043599262650126,0.5740300063928174,0.013842198428579108
T2/test/10,soc,2,7,41.46956925625731,42.0838555713192,0.6142863150618894,0.014812941780657637
T2/test/10,mor,3,8,41.46956925625731,42.094634604078394,0.625065347821085,0.01507286810621428
T2/test/10,pos,4,7,41.46956925625731,42.05881501155387,0.5892457552965595,0.014209112027553764
T2/test/11,min,0,7,39.57859653589385,39.40846724090748,-0.1701292949863742,-0.004298517630156083
T2/test/11,nar,1,3,39.57859653589385,39.32923844826966,-0.24935808762418787,-0.00630032667778012
T2/test/11,soc,2,7,39.57859653589385,39.25496626081986,-0.3236302750739881,-0.008176901239549705
T2/test/11,mor,3,8,39.57859653589385,39.35312154749788,-0.22547498839597324,-0.005696891960064573
T2/test/11,pos,4,7,39.57859653589385,39.32759314058299,-0.25100339531086036,-0.006341897320265645
T2/test/12,min,0,7,39.900565483343506,39.899962154762214,-0.0006033285812918621,-1.5120802775181761e-05
T2/test/12,nar,1,3,39.900565483343506,39.91098373027666,0.010418246933156183,0.0002611052451751663
T2/test/12,soc,2,7,39.900565483343506,39.90390416377067,0.003338680427162899,8.36750152966286e-05
T2/test/12,mor,3,8,39.900565483343506,40.002038082388616,0.10147259904510975,0.002543136865753682
T2/test/12,pos,4,7,39.900565483343506,39.85373971571698,-0.04682576762652246,-0.0011735615036852017
