conversation,layer,orig_total,orig_layer_total,patched_layer_total,layer_delta,t1_layer_total
T2/test/0,0,39.900565483343506,39.900565483343506,40.00514439647169,0.10457891312818646,40.00514439647169
T2/test/0,1,39.900565483343506,47.244987936732144,47.18009129693762,-0.06489663979452587,
T2/test/0,2,39.900565483343506,39.820227792523816,35.46302236584055,-4.357205426683265,
T2/test/0,3,39.900565483343506,42.1399605225639,37.88519722003457,-4.2547633025293266,
T2/test/0,4,39.900565483343506,41.291980387139986,36.94771929354064,-4.344261093599343,
T2/test/0,5,39.900565483343506,41.03484074385899,36.62240690186235,-4.412433841996645,
T2/test/0,6,39.900565483343506,42.2591972293222,38.288068517097194,-3.9711287122250027,
T2/test/0,7,39.900565483343506,41.941256420579165,37.97097979246705,-3.970276628112117,
T2/test/0,8,39.900565483343506,41.327271126162294,37.463572613861686,-3.8636985123006085,
T2/test/0,9,39.900565483343506,40.98128145850199,37.46637997728446,-3.514901481217528,
T2/test/0,10,39.900565483343506,41.51870059785662,38.30407820119596,-3.2146223966606584,
T2/test/0,11,39.900565483343506,38.60156760426765,35.17998416286233,-3.4215834414053177,
T2/test/0,12,39.900565483343506,40.90110322331074,36.92746970277737,-3.973633520533369,
T2/test/0,13,39.900565483343506,41.20284691360096,37.207631452608766,-3.995215460992192,
T2/test/0,14,39.900565483343506,40.983364223321935,36.995263538756134,-3.9881006845658007,
T2/test/0,15,39.900565483343506,41.40557875171005,36.663936915235794,-4.741641836474258,
T2/test/0,16,39.900565483343506,40.26654712372555,35.700106147216964,-4.566440976508588,
T2/test/0,17,39.900565483343506,39.57314523848826,34.5202165555516,-5.05292868293666,
T2/test/0,18,39.900565483343506,38.35546793675359,32.67362366471662,-5.681844272036969,
T2/test/0,19,39.900565483343506,37.118491344036954,30.655515544346333,-6.462975799690621,
T2/test/0,20,39.900565483343506,36.57611993304068,29.498621742888858,-7.077498190151822,
T2/test/0,21,39.900565483343506,34.42420266674189,27.12527614402457,-7.29892652271732,
T2/test/0,22,39.900565483343506,35.846293617156405,28.560687849251746,-7.285605767904659,
T2/test/0,23,39.900565483343506,34.02129544949999,26.37976349519818,-7.641531954301808,
T2/test/0,24,39.900565483343506,34.685987287896936,26.733976014019863,-7.952011273877073,
T2/test/0,25,39.900565483343506,33.14938518762952,25.28278054714996,-7.866604640479558,
T2/test/0,26,39.900565483343506,33.28551223261505,25.48574932189348,-7.799762910721569,
T2/test/0,27,39.900565483343506,34.268492476310094,27.435863077930524,-6.83262939837957,
T2/test/0,28,39.900565483343506,34.02463568063164,25.722848528163887,-8.301787152467753,
T2/test/0,29,39.900565483343506,32.33386645982258,25.053556811272124,-7.280309648550457,
T2/test/0,30,39.900565483343506,32.82315195076138,25.087622074444837,-7.735529876316541,
T2/test/0,31,39.900565483343506,47.55414760223176,36.02549001217953,-11.528657590052227,
T2/test/1,0,44.18258491488469,44.18258491488469,40.87168761765368,-3.3108972972310156,40.87168761765368
T2/test/1,1,44.18258491488469,49.54293622804578,47.5115667012556,-2.0313695267901792,
T2/test/1,2,44.18258491488469,47.61651260928514,42.899813066955154,-4.716699542329984,
T2/test/1,3,44.18258491488469,48.98216758027952,44.90265283802391,-4.079514742255611,
T2/test/1,4,44.18258491488469,48.6019129910975,44.11837752367718,-4.483535467420317,
T2/test/1,5,44.18258491488469,48.399034657651995,43.64111033871096,-4.757924318941036,
T2/test/1,6,44.18258491488469,48.65152974290547,44.736042673767194,-3.9154870691382726,
T2/test/1,7,44.18258491488469,48.53103103501707,44.38510440907595,-4.145926625941122,
T2/test/1,8,44.18258491488469,47.9411833914831,43.533902607242084,-4.407280784241017,
T2/test/1,9,44.18258491488469,48.14608565592293,43.85642162040478,-4.28966403551815,
T2/test/1,10,44.18258491488469,48.32696283446157,44.14633024417412,-4.180632590287445,
T2/test/1,11,44.18258491488469,46.34854573108107,41.63944163586254,-4.709104095218528,
T2/test/1,12,44.18258491488469,48.042936546859096,43.28058698024276,-4.7623495666163365,
T2/test/1,13,44.18258491488469,48.3353480885199,43.894333519707736,-4.4410145688121645,
T2/test/1,14,44.18258491488469,48.114434391264616,44.286473733519436,-3.82796065774518,
T2/test/1,15,44.18258491488469,48.23495930725057,44.06192897307504,-4.173030334175529,
T2/test/1,16,44.18258491488469,48.172268315685606,43.355300114979464,-4.8169682007061425,
T2/test/1,17,44.18258491488469,48.356680962988705,43.02557253519916,-5.331108427789545,
T2/test/1,18,44.18258491488469,47.53392757124802,41.704995729697025,-5.828931841550997,
T2/test/1,19,44.18258491488469,46.7318248203523,41.001758254834805,-5.730066565517497,
T2/test/1,20,44.18258491488469,46.87671218661994,41.17425025682617,-5.70246192979377,
T2/test/1,21,44.18258491488469,45.845737415120595,39.322813898249734,-6.522923516870861,
T2/test/1,22,44.18258491488469,46.41374609313142,39.88633373813332,-6.527412354998106,
T2/test/1,23,44.18258491488469,45.60487979415467,38.79462012731971,-6.810259666834959,
T2/test/1,24,44.18258491488469,45.50698044096287,38.8454729615169,-6.661507479445973,
T2/test/1,25,44.18258491488469,45.35674822554195,37.648764938102545,-7.707983287439404,
T2/test/1,26,44.18258491488469,44.806599068751325,37.673554594859354,-7.133044473891971,
T2/test/1,27,44.18258491488469,45.568721826335604,37.954961887295426,-7.613759939040179,
T2/test/1,28,44.18258491488469,45.111377289340844,37.480647677902475,-7.630729611438369,
T2/test/1,29,44.18258491488469,44.78497503879965,37.61262628301731,-7.1723487557823375,
T2/test/1,30,44.18258491488469,44.86983940408457,37.05619205328757,-7.813647350797005,
T2/test/1,31,44.18258491488469,50.764737089571334,49.257368106061314,-1.5073689835100197,
T2/test/10,0,41.46956925625731,41.46956925625731,44.421778001281886,2.9522087450245778,44.421778001281886
T2/test/10,1,41.46956925625731,47.98969990370919,49.45349301922479,1.4637931155155997,
T2/test/10,2,41.46956925625731,45.137091349305244,45.77751543224302,0.640424082937777,
T2/test/10,3,41.46956925625731,46.76208584291116,47.29838647376497,0.536300630853809,
T2/test/10,4,41.46956925625731,46.0158321579221,46.727656559101,0.7118244011789017,
T2/test/10,5,41.46956925625731,45.72524857332497,46.88753690593058,1.1622883326056126,
T2/test/10,6,41.46956925625731,46.28662292863576,47.47064673287794,1.1840238042421802,
T2/test/10,7,41.46956925625731,46.0900437585433,47.220344095333395,1.1303003367900928,
T2/test/10,8,41.46956925625731,45.23900828694863,46.57931217558659,1.3403038886379548,
T2/test/10,9,41.46956925625731,45.33344437822788,46.71648263008973,1.3830382518618478,
T2/test/10,10,41.46956925625731,45.616469037165935,47.22817955786719,1.6117105207012585,
T2/test/10,11,41.46956925625731,43.40856129630319,45.196077212993224,1.7875159166900332,
T2/test/10,12,41.46956925625731,44.87793018536249,46.83476386340642,1.9568336780439353,
T2/test/10,13,41.46956925625731,45.419534973337214,47.42758685617293,2.0080518828357157,
T2/test/10,14,41.46956925625731,45.25021521973322,46.91739691204321,1.6671816923099883,
T2/test/10,15,41.46956925625731,45.28253220413978,47.16794204324881,1.8854098391090304,
T2/test/10,16,41.46956925625731,45.32211147200649,46.672788128143964,1.3506766561374732,
T2/test/10,17,41.46956925625731,45.30083533940621,45.97026537668725,0.6694300372810389,
T2/test/10,18,41.46956925625731,44.13133739688481,45.442114130792554,1.310776733907744,
T2/test/10,19,41.46956925625731,43.22853759707783,44.52908973845654,1.3005521413787093,
T2/test/10,20,41.46956925625731,43.506249882928735,44.13708201482922,0.6308321319004833,
T2/test/10,21,41.46956925625731,42.31495367213402,42.73300433649929,0.4180506643652748,
T2/test/10,22,41.46956925625731,43.02734188365032,43.73946236828017,0.7121204846298497,
T2/test/10,23,41.46956925625731,41.81662624952937,42.773672905158456,0.9570466556290853,
T2/test/10,24,41.46956925625731,42.16089139827897,42.58272951406464,0.4218381157856683,
T2/test/10,25,41.46956925625731,41.04701008542096,42.160897099400515,1.1138870139795571,
T2/test/10,26,41.46956925625731,41.14200004754151,41.7945596185102,0.6525595709686911,
T2/test/10,27,41.46956925625731,41.502650014670486,42.869887178976406,1.3672371643059194,
T2/test/10,28,41.46956925625731,41.199914136610246,42.75296960195613,1.553055465345885,
T2/test/10,29,41.46956925625731,40.605260919430854,42.280742203477196,1.6754812840463416,
T2/test/10,30,41.46956925625731,40.28218984534826,42.79013290739355,2.5079430620452854,
T2/test/10,31,41.46956925625731,48.28257241181281,48.15612652948347,-0.1264458823293353,
T2/test/11,0,39.57859653589385,39.57859653589385,38.4252842621487,-1.1533122737451507,38.4252842621487
T2/test/11,1,39.57859653589385,46.70125291004743,46.22762928488151,-0.4736236251659207,
T2/test/11,2,39.57859653589385,40.782726579570706,38.3751184382215,-2.4076081413492076,
T2/test/11,3,39.57859653589385,43.203252716605675,40.728891847238,-2.474360869367672,
T2/test/11,4,39.57859653589385,42.43361235255191,39.79836381543442,-2.6352485371174907,
T2/test/11,5,39.57859653589385,41.97543241757485,39.10723217807503,-2.8682002394998207,
T2/test/11,6,39.57859653589385,42.84379147483711,40.506592108891034,-2.337199365946077,
T2/test/11,7,39.57859653589385,42.7540327728226,39.954460846680114,-2.799571926142484,
T2/test/11,8,39.57859653589385,42.04534912068894,39.38621382730608,-2.6591352933828603,
T2/test/11,9,39.57859653589385,41.76079854564968,39.27279590185039,-2.488002643799291,
T2/test/11,10,39.57859653589385,42.63295452265765,39.42770386670818,-3.2052506559494702,
T2/test/11,11,39.57859653589385,39.77510357392069,36.83147560235238,-2.9436279715683114,
T2/test/11,12,39.57859653589385,41.96256729822615,38.53814612028978,-3.4244211779363667,
T2/test/11,13,39.57859653589385,42.20724862968249,38.61858314840971,-3.588665481272777,
T2/test/11,14,39.57859653589385,41.89476453760072,38.80428974240941,-3.0904747951913123,
T2/test/11,15,39.57859653589385,41.91156706279086,38.219903210005,-3.691663852785858,
T2/test/11,16,39.57859653589385,41.658175235968656,36.85196753295354,-4.806207703015119,
T2/test/11,17,39.57859653589385,40.517471958207054,37.10858715422129,-3.4088848039857638,
T2/test/11,18,39.57859653589385,39.41595163024267,34.84827483861481,-4.567676791627854,
T2/test/11,19,39.57859653589385,37.984077965207646,34.03706576447347,-3.9470122007341786,
T2/test/11,20,39.57859653589385,37.502194295061294,33.44852107509898,-4.053673219962313,
T2/test/11,21,39.57859653589385,35.30722133641018,31.956200564194848,-3.351020772215332,
T2/test/11,22,39.57859653589385,36.28844367563191,32.84304933457887,-3.4453943410530385,
T2/test/11,23,39.57859653589385,34.811104999565515,30.670265948657633,-4.140839050907882,
T2/test/11,24,39.57859653589385,35.58532934081033,31.188228609823014,-4.397100730987319,
T2/test/11,25,39.57859653589385,33.56474119744242,29.60956924148653,-3.955171955955894,
T2/test/11,26,39.57859653589385,33.6475646560347,29.53781329162341,-4.1097513644112915,
T2/test/11,27,39.57859653589385,33.92457994227186,30.714252640268256,-3.2103273020036056,
T2/test/11,28,39.57859653589385,33.31854731581483,28.571045808395365,-4.747501507419468,
T2/test/11,29,39.57859653589385,32.571531460742925,28.16140677006839,-4.410124690674536,
T2/test/11,30,39.57859653589385,32.226289908724965,27.377879808071963,-4.848410100653002,
T2/test/11,31,39.57859653589385,37.95052747297221,31.6730846541621,-6.277442818810112,
T2/test/12,0,39.900565483343506,39.900565483343506,40.00514439647169,0.10457891312818646,40.00514439647169
T2/test/12,1,39.900565483343506,47.244987936732144,47.18009129693762,-0.06489663979452587,
T2/test/12,2,39.900565483343506,39.820227792523816,35.46302236584055,-4.357205426683265,
T2/test/12,3,39.900565483343506,42.1399605225639,37.88519722003457,-4.2547633025293266,
T2/test/12,4,39.900565483343506,41.291980387139986,36.94771929354064,-4.344261093599343,
T2/test/12,5,39.900565483343506,41.03484074385899,36.62240690186235,-4.412433841996645,
T2/test/12,6,39.900565483343506,42.2591972293222,38.288068517097194,-3.9711287122250027,
T2/test/12,7,39.900565483343506,41.941256420579165,37.97097979246705,-3.970276628112117,
T2/test/12,8,39.900565483343506,41.327271126162294,37.463572613861686,-3.8636985123006085,
T2/test/12,9,39.900565483343506,40.98128145850199,37.46637997728446,-3.514901481217528,
T2/test/12,10,39.900565483343506,41.51870059785662,38.30407820119596,-3.2146223966606584,
T2/test/12,11,39.900565483343506,38.60156760426765,35.17998416286233,-3.4215834414053177,
T2/test/12,12,39.900565483343506,40.90110322331074,36.92746970277737,-3.973633520533369,
T2/test/12,13,39.900565483343506,41.20284691360096,37.207631452608766,-3.995215460992192,
T2/test/12,14,39.900565483343506,40.983364223321935,36.995263538756134,-3.9881006845658007,
T2/test/12,15,39.900565483343506,41.40557875171005,36.663936915235794,-4.741641836474258,
T2/test/12,16,39.900565483343506,40.26654712372555,35.700106147216964,-4.566440976508588,
T2/test/12,17,39.900565483343506,39.57314523848826,34.5202165555516,-5.05292868293666,
T2/test/12,18,39.900565483343506,38.35546793675359,32.67362366471662,-5.681844272036969,
T2/test/12,19,39.900565483343506,37.118491344036954,30.655515544346333,-6.462975799690621,
T2/test/12,20,39.900565483343506,36.57611993304068,29.498621742888858,-7.077498190151822,
T2/test/12,21,39.900565483343506,34.42420266674189,27.12527614402457,-7.29892652271732,
T2/test/12,22,39.900565483343506,35.846293617156405,28.560687849251746,-7.285605767904659,
T2/test/12,23,39.900565483343506,34.02129544949999,26.37976349519818,-7.641531954301808,
T2/test/12,24,39.900565483343506,34.685987287896936,26.733976014019863,-7.952011273877073,
T2/test/12,25,39.900565483343506,33.14938518762952,25.28278054714996,-7.866604640479558,
T2/test/12,26,39.900565483343506,33.28551223261505,25.48574932189348,-7.799762910721569,
T2/test/12,27,39.900565483343506,34.268492476310094,27.435863077930524,-6.83262939837957,
T2/test/12,28,39.900565483343506,34.02463568063164,25.722848528163887,-8.301787152467753,
T2/test/12,29,39.900565483343506,32.33386645982258,25.053556811272124,-7.280309648550457,
T2/test/12,30,39.900565483343506,32.82315195076138,25.087622074444837,-7.735529876316541,
T2/test/12,31,39.900565483343506,47.55414760223176,36.02549001217953,-11.528657590052227,
