conversation_id,scenario,layer,cka,baseline
T0/test/0,T0,0,0.83672035,cka
T0/test/0,T0,1,0.8825973,cka
T0/test/0,T0,2,0.8085283,cka
T0/test/0,T0,3,0.7206535,cka
T0/test/0,T0,4,0.60836697,cka
T0/test/0,T0,5,0.45515507,cka
T0/test/0,T0,6,0.4137431,cka
T0/test/0,T0,7,0.43057495,cka
T0/test/0,T0,8,0.34542668,cka
T0/test/0,T0,9,0.27235323,cka
T0/test/0,T0,10,0.2484009,cka
T0/test/0,T0,11,0.26340237,cka
T0/test/0,T0,12,0.26528645,cka
T0/test/0,T0,13,0.26342764,cka
T0/test/0,T0,14,0.23247595,cka
T0/test/0,T0,15,0.23691344,cka
T0/test/0,T0,16,0.20514686,cka
T0/test/0,T0,17,0.190217,cka
T0/test/0,T0,18,0.17634076,cka
T0/test/0,T0,19,0.17166857,cka
T0/test/0,T0,20,0.17202915,cka
T0/test/0,T0,21,0.17697665,cka
T0/test/0,T0,22,0.16187839,cka
T0/test/0,T0,23,0.15778108,cka
T0/test/0,T0,24,0.16896361,cka
T0/test/0,T0,25,0.19189042,cka
T0/test/0,T0,26,0.1847754,cka
T0/test/0,T0,27,0.1857932,cka
T0/test/0,T0,28,0.18360174,cka
T0/test/0,T0,29,0.17575859,cka
T0/test/0,T0,30,0.16971798,cka
T0/test/0,T0,31,0.10644735,cka
T0/test/1,T0,0,0.5600076,cka
T0/test/1,T0,1,0.7397373,cka
T0/test/1,T0,2,0.6461192,cka
T0/test/1,T0,3,0.59670603,cka
T0/test/1,T0,4,0.47031623,cka
T0/test/1,T0,5,0.3799021,cka
T0/test/1,T0,6,0.3431718,cka
T0/test/1,T0,7,0.34176147,cka
T0/test/1,T0,8,0.3289139,cka
T0/test/1,T0,9,0.26354793,cka
T0/test/1,T0,10,0.2334858,cka
T0/test/1,T0,11,0.21619493,cka
T0/test/1,T0,12,0.2436401,cka
T0/test/1,T0,13,0.21457861,cka
T0/test/1,T0,14,0.15896375,cka
T0/test/1,T0,15,0.13776428,cka
T0/test/1,T0,16,0.10466927,cka
T0/test/1,T0,17,0.10559683,cka
T0/test/1,T0,18,0.0931318,cka
T0/test/1,T0,19,0.08955675,cka
T0/test/1,T0,20,0.081391364,cka
T0/test/1,T0,21,0.08155416,cka
T0/test/1,T0,22,0.07965182,cka
T0/test/1,T0,23,0.06886658,cka
T0/test/1,T0,24,0.07446305,cka
T0/test/1,T0,25,0.07683358,cka
T0/test/1,T0,26,0.065464206,cka
T0/test/1,T0,27,0.054553658,cka
T0/test/1,T0,28,0.05035666,cka
T0/test/1,T0,29,0.048573397,cka
T0/test/1,T0,30,0.044048034,cka
T0/test/1,T0,31,0.044185635,cka
T0/test/2,T0,0,0.5600076,cka
T0/test/2,T0,1,0.7397373,cka
T0/test/2,T0,2,0.6461192,cka
T0/test/2,T0,3,0.59670603,cka
T0/test/2,T0,4,0.47031623,cka
T0/test/2,T0,5,0.3799021,cka
T0/test/2,T0,6,0.3431718,cka
T0/test/2,T0,7,0.34176147,cka
T0/test/2,T0,8,0.3289139,cka
T0/test/2,T0,9,0.26354793,cka
T0/test/2,T0,10,0.2334858,cka
T0/test/2,T0,11,0.21619493,cka
T0/test/2,T0,12,0.2436401,cka
T0/test/2,T0,13,0.21457861,cka
T0/test/2,T0,14,0.15896375,cka
T0/test/2,T0,15,0.13776428,cka
T0/test/2,T0,16,0.10466927,cka
T0/test/2,T0,17,0.10559683,cka
T0/test/2,T0,18,0.0931318,cka
T0/test/2,T0,19,0.08955675,cka
T0/test/2,T0,20,0.081391364,cka
T0/test/2,T0,21,0.08155416,cka
T0/test/2,T0,22,0.07965182,cka
T0/test/2,T0,23,0.06886658,cka
T0/test/2,T0,24,0.07446305,cka
T0/test/2,T0,25,0.07683358,cka
T0/test/2,T0,26,0.065464206,cka
T0/test/2,T0,27,0.054553658,cka
T0/test/2,T0,28,0.05035666,cka
