permutation,layer,mean_attention
0,min,0.018440286
0,nar,0.018890262
0,soc,0.018490553
0,mor,0.018474936
0,pos,0.018371096
1,min,0.01874968
1,nar,0.018382033
1,soc,0.018414425
1,mor,0.018430732
1,pos,0.018406162
2,min,0.018461933
2,nar,0.018654188
2,soc,0.01841729
2,mor,0.018504068
2,pos,0.018490592
3,min,0.018322391
3,nar,0.018763462
3,soc,0.018342873
3,mor,0.018725902
3,pos,0.018404195
4,min,0.01853369
4,nar,0.018550465
4,soc,0.01848082
4,mor,0.018389322
4,pos,0.018530896
5,min,0.018462727
5,nar,0.018547058
5,soc,0.018647144
5,mor,0.018408064
5,pos,0.01841558
6,min,0.018600209
6,nar,0.018602213
6,soc,0.01854659
6,mor,0.01832211
6,pos,0.018453244
7,min,0.018474272
7,nar,0.018505177
7,soc,0.018311808
7,mor,0.018609934
7,pos,0.01852661
8,min,0.01817899
8,nar,0.018506804
8,soc,0.018612554
8,mor,0.018392082
8,pos,0.018769417
9,min,0.018333955
9,nar,0.018317858
9,soc,0.01832011
9,mor,0.018558528
9,pos,0.018797653
10,min,0.018488185
10,nar,0.018218419
10,soc,0.018636717
10,mor,0.01833298
10,pos,0.0186272
11,min,0.018317921
11,nar,0.018675447
11,soc,0.018578036
11,mor,0.018532213
11,pos,0.018432584
12,min,0.018441558
12,nar,0.018745651
12,soc,0.01830313
12,mor,0.018518
12,pos,0.018570006
13,min,0.018408997
13,nar,0.018608093
13,soc,0.018544095
13,mor,0.018494837
13,pos,0.018447028
14,min,0.018507924
14,nar,0.01882577
14,soc,0.01835379
14,mor,0.018385656
14,pos,0.018569896
15,min,0.018403633
15,nar,0.01847752
15,soc,0.018544687
15,mor,0.018384673
15,pos,0.018633664
16,min,0.018478649
16,nar,0.01811091
16,soc,0.018402696
16,mor,0.018729288
16,pos,0.01846391
17,min,0.018359542
17,nar,0.0184834
17,soc,0.018492451
17,mor,0.018417008
17,pos,0.018690513
18,min,0.018655386
18,nar,0.018704334
18,soc,0.018413965
18,mor,0.018205158
18,pos,0.018620584
19,min,0.018191526
19,nar,0.018898169
19,soc,0.0186291
19,mor,0.018450342
19,pos,0.01850603
20,min,0.01848094
20,nar,0.018482298
20,soc,0.018617136
20,mor,0.018601373
20,pos,0.018234203
21,min,0.018450592
21,nar,0.018433332
21,soc,0.018432753
21,mor,0.018407054
21,pos,0.018691996
22,min,0.018382976
22,nar,0.018850803
22,soc,0.018575545
22,mor,0.018521056
22,pos,0.018307617
23,min,0.018164055
23,nar,0.018651843
23,soc,0.018319752
23,mor,0.018583603
23,pos,0.018796116
24,min,0.018207768
24,nar,0.01849679
24,soc,0.018502286
24,mor,0.018684134
24,pos,0.018521428
25,min,0.018623292
25,nar,0.018071055
25,soc,0.018122613
25,mor,0.01863284
25,pos,0.018726656
26,min,0.018506246
26,nar,0.018520117
26,soc,0.01846586
26,mor,0.018323764
26,pos,0.01866123
27,min,0.018613866
27,nar,0.018133998
27,soc,0.018498728
27,mor,0.018443197
27,pos,0.018549727
28,min,0.018491337
28,nar,0.018820366
28,soc,0.018651383
28,mor,0.018391777
28,pos,0.018284211
29,min,0.018720677
29,nar,0.01861762
29,soc,0.018320832
29,mor,0.01843109
29,pos,0.018427381
30,min,0.01852165
30,nar,0.018395782
30,soc,0.01837693
30,mor,0.018645998
30,pos,0.018419776
31,min,0.018518938
31,nar,0.01874888
31,soc,0.018331349
31,mor,0.01846619
31,pos,0.018522236
32,min,0.018473847
32,nar,0.018199483
32,soc,0.018433409
32,mor,0.018554293
32,pos,0.018600034
33,min,0.018488994
33,nar,0.018711716
33,soc,0.018340452
33,mor,0.01847636
33,pos,0.018547382
34,min,0.018450107
34,nar,0.018517217
34,soc,0.018449903
34,mor,0.018385708
34,pos,0.018663777
35,min,0.018390844
35,nar,0.018785477
35,soc,0.018652843
35,mor,0.01841893
35,pos,0.018367162
36,min,0.018385785
36,nar,0.018344084
36,soc,0.018430892
36,mor,0.018521145
36,pos,0.018666523
37,min,0.018194003
37,nar,0.01883475
37,soc,0.01857044
37,mor,0.018761944
37,pos,0.018233273
38,min,0.018230584
38,nar,0.018694758
38,soc,0.018691996
38,mor,0.018438235
38,pos,0.018505087
39,min,0.018476205
39,nar,0.018268188
39,soc,0.018449238
39,mor,0.018481318
39,pos,0.0186358
40,min,0.018310709
40,nar,0.018444657
40,soc,0.018637525
40,mor,0.018421292
40,pos,0.018605981
41,min,0.018123236
41,nar,0.01835688
41,soc,0.018709468
41,mor,0.018676832
41,pos,0.018467085
42,min,0.018520713
42,nar,0.018274387
42,soc,0.018337611
42,mor,0.01865673
42,pos,0.018499792
43,min,0.018798364
43,nar,0.018249353
43,soc,0.01848868
43,mor,0.018543772
43,pos,0.018210897
44,min,0.018203262
44,nar,0.01860257
44,soc,0.018469939
44,mor,0.018668592
44,pos,0.01853071
45,min,0.018391576
45,nar,0.018952688
45,soc,0.018555488
45,mor,0.018561259
45,pos,0.018229464
46,min,0.018383205
46,nar,0.01871419
46,soc,0.018488118
46,mor,0.018462192
46,pos,0.018520636
47,min,0.018346462
47,nar,0.01863853
47,soc,0.018591378
47,mor,0.018632889
47,pos,0.01829146
48,min,0.018390307
48,nar,0.01815641
48,soc,0.018542724
48,mor,0.018597301
48,pos,0.018543568
49,min,0.018539548
49,nar,0.018754274
49,soc,0.0187037
49,mor,0.018188521
49,pos,0.0184443
50,min,0.018430395
