model,layer,probe_type,f1_mean,f1_std,baseline
llama-7b,0,binary,1.0,0.0,linear_probing
llama-7b,0,multiclass,1.0,0.0,linear_probing
llama-7b,0,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,1,binary,1.0,0.0,linear_probing
llama-7b,1,multiclass,1.0,0.0,linear_probing
llama-7b,1,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,2,binary,1.0,0.0,linear_probing
llama-7b,2,multiclass,1.0,0.0,linear_probing
llama-7b,2,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,3,binary,1.0,0.0,linear_probing
llama-7b,3,multiclass,1.0,0.0,linear_probing
llama-7b,3,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,4,binary,1.0,0.0,linear_probing
llama-7b,4,multiclass,1.0,0.0,linear_probing
llama-7b,4,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,5,binary,1.0,0.0,linear_probing
llama-7b,5,multiclass,1.0,0.0,linear_probing
llama-7b,5,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,6,binary,1.0,0.0,linear_probing
llama-7b,6,multiclass,1.0,0.0,linear_probing
llama-7b,6,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,7,binary,1.0,0.0,linear_probing
llama-7b,7,multiclass,1.0,0.0,linear_probing
llama-7b,7,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,8,binary,1.0,0.0,linear_probing
llama-7b,8,multiclass,1.0,0.0,linear_probing
llama-7b,8,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,9,binary,1.0,0.0,linear_probing
llama-7b,9,multiclass,1.0,0.0,linear_probing
llama-7b,9,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,10,binary,1.0,0.0,linear_probing
llama-7b,10,multiclass,1.0,0.0,linear_probing
llama-7b,10,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,11,binary,1.0,0.0,linear_probing
llama-7b,11,multiclass,1.0,0.0,linear_probing
llama-7b,11,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,12,binary,1.0,0.0,linear_probing
llama-7b,12,multiclass,1.0,0.0,linear_probing
llama-7b,12,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,13,binary,1.0,0.0,linear_probing
llama-7b,13,multiclass,1.0,0.0,linear_probing
llama-7b,13,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,14,binary,1.0,0.0,linear_probing
llama-7b,14,multiclass,1.0,0.0,linear_probing
llama-7b,14,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,15,binary,1.0,0.0,linear_probing
llama-7b,15,multiclass,1.0,0.0,linear_probing
llama-7b,15,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,16,binary,1.0,0.0,linear_probing
llama-7b,16,multiclass,1.0,0.0,linear_probing
llama-7b,16,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,17,binary,1.0,0.0,linear_probing
llama-7b,17,multiclass,1.0,0.0,linear_probing
llama-7b,17,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,18,binary,1.0,0.0,linear_probing
llama-7b,18,multiclass,1.0,0.0,linear_probing
llama-7b,18,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,19,binary,1.0,0.0,linear_probing
llama-7b,19,multiclass,1.0,0.0,linear_probing
llama-7b,19,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,20,binary,1.0,0.0,linear_probing
llama-7b,20,multiclass,1.0,0.0,linear_probing
llama-7b,20,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,21,binary,1.0,0.0,linear_probing
llama-7b,21,multiclass,1.0,0.0,linear_probing
llama-7b,21,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,22,binary,1.0,0.0,linear_probing
llama-7b,22,multiclass,1.0,0.0,linear_probing
llama-7b,22,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,23,binary,1.0,0.0,linear_probing
llama-7b,23,multiclass,1.0,0.0,linear_probing
llama-7b,23,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,24,binary,1.0,0.0,linear_probing
llama-7b,24,multiclass,1.0,0.0,linear_probing
llama-7b,24,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,25,binary,1.0,0.0,linear_probing
llama-7b,25,multiclass,1.0,0.0,linear_probing
llama-7b,25,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,26,binary,1.0,0.0,linear_probing
llama-7b,26,multiclass,1.0,0.0,linear_probing
llama-7b,26,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,27,binary,1.0,0.0,linear_probing
llama-7b,27,multiclass,1.0,0.0,linear_probing
llama-7b,27,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,28,binary,1.0,0.0,linear_probing
llama-7b,28,multiclass,1.0,0.0,linear_probing
llama-7b,28,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,29,binary,1.0,0.0,linear_probing
llama-7b,29,multiclass,1.0,0.0,linear_probing
llama-7b,29,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,30,binary,1.0,0.0,linear_probing
llama-7b,30,multiclass,1.0,0.0,linear_probing
llama-7b,30,multiclass_pca10,1.0,0.0,linear_probing
llama-7b,31,binary,1.0,0.0,linear_probing
llama-7b,31,multiclass,1.0,0.0,linear_probing
llama-7b,31,multiclass_pca10,1.0,0.0,linear_probing
